Time, ManagementArea, Prescription, StandMapCode, EventID, StandAge, StandRank, StandSiteCount, DamagedSites, MgBiomassRemoved, MgBioRemovedPerDamagedHa, CohortsDamaged, CohortsKilled, CohortsKilledByabiebals, CohortsKilledByacernegu, CohortsKilledByacerrubr, CohortsKilledByacersacc, CohortsKilledByacerspic, CohortsKilledBybetualle, CohortsKilledBybetupapy, CohortsKilledByceltis, CohortsKilledByfraxamer, CohortsKilledByfraxnigr, CohortsKilledByfraxpenn, CohortsKilledBylarilari, CohortsKilledByostrvirg, CohortsKilledBypiceglau, CohortsKilledBypicemari, CohortsKilledBypinubank, CohortsKilledBypinuresi, CohortsKilledBypinustro, CohortsKilledBypopubals, CohortsKilledBypopudelt, CohortsKilledBypopugran, CohortsKilledBypoputrem, CohortsKilledByprunpens, CohortsKilledByprunsero, CohortsKilledByprunvirg, CohortsKilledByqueralba, CohortsKilledByquerelli, CohortsKilledByquermacr, CohortsKilledByquerrubr, CohortsKilledBysalix, CohortsKilledBythujocci, CohortsKilledBytiliamer, CohortsKilledByulmuamer, CohortsKilledByulmurubr, 
5, 1, Thinning_PineHard, 106282, 1073, 51, 16877, 1, 1, 28.2, 7.05, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, CNF_SpruceFir, 116138, 792, 0, 1024.4, 5, 5, 2842.44, 142.12, 0, 62, 7, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Thinning_PineHard, 118079, 965, 56, 16968, 2, 1, 14.64, 3.66, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Thinning_PineHard, 134294, 1202, 111, 16720, 2, 2, 16.28, 2.04, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, JPine_Clearcut, 102695, 250, 0, 244, 1, 1, 647.4, 161.85, 0, 10, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Thinning_PineHard, 139394, 722, 59, 17190, 6, 1, 39.32, 9.83, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Thinning_Aspen, 135419, 855, 90, 17479, 5, 3, 221.2, 18.43, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Oak_Shelter, 122062, 526, 81, 355, 2, 2, 1164.2, 145.53, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 
5, 1, Aspen_Clearcut, 127138, 778, 0, 1367.5, 1, 1, 614.88, 153.72, 0, 18, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 
5, 1, Oak_Clearcut, 106193, 51, 0, 725, 1, 1, 680.72, 170.18, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 
